Date,Open,High,Low,Close,Volume
02-03-2024 00:00,62430.6,62496,62167.3,62371.1,7803.935
02-03-2024 01:00,62371.1,62379.6,62004,62089,6131.424
02-03-2024 02:00,62088.9,62286,62004.6,62180,5970.797
02-03-2024 03:00,62180.1,62513.1,62088,62374.3,8536.398
02-03-2024 04:00,62374.4,62380,62100,62100,6230.885
02-03-2024 05:00,62100,62150,61820,62072.4,11243.684
02-03-2024 06:00,62072.4,62337.1,62000,62020,7734.259
02-03-2024 07:00,62019.9,62102,61870,62071.9,5574.41
02-03-2024 08:00,62071.9,62217.7,61850,62026.8,6670.783
02-03-2024 09:00,62026.8,62073.2,61711.5,61914.1,11104.5
02-03-2024 10:00,61914.2,62107.1,61889,61988.9,5757.214
02-03-2024 11:00,61989,62130,61900,61900,5242.214
02-03-2024 12:00,61900,62248.2,61894.2,62156,6678.356
02-03-2024 13:00,62156,62156,61863.9,61864,6133.598
02-03-2024 14:00,61864,61976.6,61605,61889.9,13636.994
02-03-2024 15:00,61889.9,62049.8,61791.9,61834.5,7912.215
02-03-2024 16:00,61834.5,61950,61700,61932.9,5027.722
02-03-2024 17:00,61932.8,62020,61814.5,61836.7,4284.563
02-03-2024 18:00,61836.6,62110.6,61816,62099.9,3881.257
02-03-2024 19:00,62099.9,62189.6,62012.4,62185.3,3759.905
02-03-2024 20:00,62185.3,62276.6,61810.3,61929.4,8517.082
02-03-2024 21:00,61929.5,62086,61882.5,61967.3,2957.624
02-03-2024 22:00,61967.4,62009.9,61720,61724.3,3323.62
02-03-2024 23:00,61724.2,62128,61724.2,62039.9,5170.19
03-03-2024 00:00,62039.9,62055.6,61791.8,61799,4976.046
03-03-2024 01:00,61799,61974.5,61794.6,61856.9,2567.485
03-03-2024 02:00,61856.8,61867.9,61700,61867.9,3558.904
03-03-2024 03:00,61867.8,62072.4,61841.7,61997.1,4548.702
03-03-2024 04:00,61997.1,62181.2,61958.3,62085,3694.249
03-03-2024 05:00,62085,62112.3,61944.8,61954.8,2781.39
03-03-2024 06:00,61954.8,62112.8,61811.3,61927.2,5656.078
03-03-2024 07:00,61927.4,61950,61339.5,61641,22200.09
03-03-2024 08:00,61641,61776.9,61452.3,61662.3,10276.474
03-03-2024 09:00,61662.3,61963,61615.9,61782.2,7381.344
03-03-2024 10:00,61782.2,61876.2,61667.5,61724,3868.59
03-03-2024 11:00,61724,61900,61690,61900,2867.928
03-03-2024 12:00,61900,62720,61885.6,62244.1,30607.549
03-03-2024 13:00,62244.2,62480.7,62000.4,62450,11984.748
03-03-2024 14:00,62449.9,62493.9,62145.4,62145.4,8033.474
03-03-2024 15:00,62145.5,62320,62140.7,62210.7,4202.174
03-03-2024 16:00,62210.8,62929.9,62141,62901.8,16087.062
03-03-2024 17:00,62901.8,63079,62523.3,62635.8,14224.469
03-03-2024 18:00,62635.9,62936.8,62635.8,62873.3,5352.755
03-03-2024 19:00,62873.4,62925.4,62711.1,62797.1,3693.903
03-03-2024 20:00,62797.1,62933.5,62639,62828.8,4699.814
03-03-2024 21:00,62828.8,62901.7,62685,62895.5,3881.777
03-03-2024 22:00,62895.5,63330.9,62750,62897.9,15296.411
03-03-2024 23:00,62897.9,63222.1,62760.6,63178.5,7871.087
04-03-2024 00:00,63178.5,64429.3,62299,63544.5,61591.215
04-03-2024 01:00,63544.5,63931.2,63335.4,63587.6,17712.115
04-03-2024 02:00,63589.1,63988.2,63153.4,63744.8,18604.056
04-03-2024 03:00,63744.9,63816.2,63396.6,63523.9,8431.224
04-03-2024 04:00,63524,63835.9,63420.4,63680,7247.11
04-03-2024 05:00,63680,63762.1,63249.1,63406.1,8096.949
04-03-2024 06:00,63406.1,63762.3,63375.3,63745.5,6369.616
04-03-2024 07:00,63745.5,64390.2,63544,64120.6,16226.998
04-03-2024 08:00,64120.6,65690.9,64078.2,65331.4,55699.071
04-03-2024 09:00,65331.3,65717.4,64700,65383.7,32062.58
04-03-2024 10:00,65383.8,65408.6,64785.1,65153.9,18163.516
04-03-2024 11:00,65153.9,65314.1,64906.7,65314,9235.257
04-03-2024 12:00,65313.9,65343.1,64936.7,65199.9,8611.522
04-03-2024 13:00,65199.9,65755.8,65100.7,65173.2,19642.43
